user_id,name,phone_number,city_id,zip_code
1,Daniswara Setiawan,(073) 286 3011,7371,15785
2,Unggul Halim,+62-80-145-4533,3172,18050
3,Asmuni Yolanda,+62 (008) 168-9232,3172,14449
4,Omar Anggraini,+62 (078) 148 4382,1371,14423
5,Ajiono Kusmawati,+62 (0684) 135 3684,3573,19112
6,Galur Maryati,+62 (081) 583-3667,7371,16764
7,Bakianto Purnawati,+62 (49) 631 5840,6471,17874
8,Padma Saragih,(084) 373 7854,3471,15165
9,Cengkal Andriani,+62-56-559-8430,3578,19706
10,Cemplunk Dabukke,+62 (087) 969-6808,1371,19209
11,Diana Dongoran,(030) 612-2214,3175,16701
12,Mahesa Nasyiah,(0168) 913 0145,3175,15354
13,Waluyo Rajata,+62 (81) 629-4319,5171,14765
14,Indra Widodo,+62-081-815-6306,3175,16996
15,Cakrabuana Hidayanto,(0345) 343-9000,3471,17942
16,Pardi Mardhiyah,(099) 977-6812,3273,14012
17,Agnes Suryatmi,(0429) 419-5761,6471,18460
18,Prabawa Yulianti,+62 (0526) 176 5298,3172,16555
19,Taswir Usamah,+62-505-639-5591,3578,18034
20,Padma Anggraini,084 082 1609,3171,14754
21,Nasim Winarsih,(001) 085 8264,3573,17872
22,Malik Andriani,(0937) 728 5389,3273,19081
23,Hari Hidayanto,(0314) 380-2663,3172,18204
24,Harimurti Nasyidah,+62 (0997) 538 2902,3578,14710
25,Olga Lestari,+62 (41) 223-2368,3471,18539
26,Umay Prabowo,+62 (0059) 181 9915,1375,15144
27,Mustika Suryono,(083) 165-7289,3573,15490
28,Asmuni Manullang,+62 (11) 413 0202,1375,14479
29,Umaya Dongoran,082 759 3960,3175,17668
30,Kemal Salahudin,(015) 902 7868,1375,15728
31,Muhammad Suartini,+62 (0671) 529 0365,7371,19548
32,Dadi Wahyuni,(083) 244 4453,5171,15009
33,Mahfud Hasanah,+62 (187) 329 3791,7371,19441
34,Faizah Napitupulu,081 314 7371,5171,14138
35,Empluk Halimah,+62-95-812-7008,5171,19910
36,Victoria Mansur,+62-395-315-6448,3578,19456
37,Karya Siregar,(045) 065-6461,3578,17671
38,Darijan Kuswoyo,+62 (74) 968 7050,3174,14492
39,Adikara Latupono,(0981) 185 6309,3573,14600
40,Sabri Uyainah,+62 (091) 964-3903,3573,16453
41,Aris Astuti,+62 (33) 229-1995,1371,16785
42,Najib Susanti,+62 (577) 703-8797,3578,15002
43,Galang Mayasari,(089) 409 5094,3173,16695
44,Paramita Gunarto,+62 (98) 349 4916,3578,18315
45,Karma Suwarno,(025) 477 9393,3471,18677
46,Harja Permadi,0864543134,3173,17565
47,Farah Hutasoit,+62 (012) 964 8106,3573,19491
48,Koko Tamba,(0183) 021-2910,7371,19293
49,Asirwanda Simanjuntak,(0620) 638-0147,3173,19161
50,Karja Hutagalung,0804332018,6472,14768
51,Cemplunk Waluyo,+62-052-471-2151,3573,16182
52,Ade Simbolon,+62 (98) 229-9334,5171,17288
53,Ayu Maulana,+62 (80) 976 3921,1371,16938
54,Lukita Maulana,(038) 800-9303,1375,19527
55,Uda Situmorang,+62 (791) 815-3672,5171,15196
56,Caturangga Prakasa,(027) 435 4412,1371,19880
57,Titi Wacana,+62-0365-998-8241,1371,16948
58,Laras Suartini,+62 (0654) 331 3150,3175,18936
59,Viman Permata,+62 (0876) 924-7135,3273,17452
60,Lega Novitasari,+62 (061) 672-8104,1375,17199
61,Prayitna Pertiwi,+62 (002) 981-5755,3578,14596
62,Luwar Suryatmi,+62-0309-468-8097,3573,18557
63,Eko Pratiwi,+62-037-244-5690,6472,14922
64,Candrakanta Sitompul,+62 (06) 934-0346,7371,17543
65,Fitria Manullang,+62-50-857-3421,1375,17032
66,Bakiadi Hardiansyah,+62-67-230-3921,6471,18033
67,Kasusra Nashiruddin,+62-22-982-3978,5171,15474
68,Restu Najmudin,(011) 999 8876,6472,19870
69,Ridwan Salahudin,+62-075-583-7473,7371,15881
70,Juli Widodo,+62-022-855-7538,3174,16789
71,Wani Hidayat,+62-90-566-1026,3175,16237
72,Nyoman Yulianti,083 453 5290,3471,17616
73,Mahmud Haryanti,(050) 963 1795,3573,18465
